POS.,N°,DRIVE-TEAM,TEAM,TIME,GAP,PENALITY
1,201,(QAT) NASSER AL-ATTIYAH (AND) MATTHIEU BAUMEL,TOYOTA GAZOO RACING,38H 33' 03'',,00H 05' 00''
2,211,(FRA) SEBASTIEN LOEB (BEL) FABIAN LURQUIN,BAHRAIN RAID XTREME,39H 00' 49'',00H 27' 46'',00H 05' 00''
3,205,(SAU) YAZEED AL RAJHI (GBR) MICHAEL ORR,OVERDRIVE TOYOTA,39H 34' 16'',01H 01' 13'',00H 00' 35''
4,221,(ARG) ORLANDO TERRANOVA (ESP) DANIEL OLIVERAS CARRERAS,BAHRAIN RAID XTREME,40H 00' 26'',01H 27' 23'',00H 13' 00''
5,207,(ZAF) GINIEL DE VILLIERS (ZAF) DENNIS MURPHY,TOYOTA GAZOO RACING,40H 14' 51'',01H 41' 48'',00H 05' 00''
6,203,(POL) JAKUB PRZYGONSKI (DEU) TIMO GOTTSCHALK,X-RAID MINI JCW TEAM,40H 26' 09'',01H 53' 06'',
7,212,(FRA) MATHIEU SERRADORI (FRA) LOIC MINAUDIER,SRT RACING,41H 05' 08'',02H 32' 05'',00H 15' 00''
8,223,(ARG) SEBASTIAN HALPERN (ARG) BERNARDO GRAUE,X-RAID MINI JCW TEAM,41H 11' 29'',02H 38' 26'',00H 06' 00''
9,224,(SWE) MATTIAS EKSTROM (SWE) EMIL BERGKVIST,TEAM AUDI SPORT,41H 15' 14'',02H 42' 11'',00H 17' 00''
10,208,(RAF) VLADIMIR VASILYEV (LVA) OLEG UPERENKO,VRT TEAM,41H 35' 24'',03H 02' 21'',00H 07' 00''
11,234,(LTU) VAIDOTAS ZALA (PRT) PAULO FIUZA,TELTONIKA RACING,42H 04' 58'',03H 31' 55'',00H 03' 00''
12,202,(ESP) CARLOS SAINZ (ESP) LUCAS CRUZ,TEAM AUDI SPORT,42H 12' 24'',03H 39' 21'',00H 17' 00''
13,235,(FRA) MICHAEL PISANO (FRA) MAX DELFINO,MD RALLYE SPORT,42H 14' 03'',03H 41' 00'',00H 02' 10''
14,230,(ZAF) BRIAN BARAGWANATH (ZAF) LEONARD CREMER,CENTURY RACING,42H 24' 29'',03H 51' 26'',00H 19' 00''
15,233,(ZAF) SHAMEER VARIAWA (ZAF) DANIE STASSEN,TOYOTA GAZOO RACING,42H 28' 36'',03H 55' 33'',00H 55' 00''
16,214,(FRA) CHRISTIAN LAVIEILLE (FRA) JOHNNY AUBERT,MD RALLYE SPORT,42H 35' 45'',04H 02' 42'',00H 17' 00''
17,217,(NLD) BERNHARD TEN BRINKE (FRA) SÉBASTIEN DELAUNAY,OVERDRIVE TOYOTA,43H 18' 43'',04H 45' 40'',00H 17' 00''
18,222,(ARG) LUCIO ALVAREZ (ESP) ARMAND MONLEON,OVERDRIVE TOYOTA,43H 29' 39'',04H 56' 36'',
19,210,(FRA) CYRIL DESPRES (DEU) TAYE PERRY,GPX RACING,43H 31' 25'',04H 58' 22'',
20,237,(ARG) JUAN CRUZ YACOPINI (ARG) ALEJANDRO MIGUEL YACOPINI,OVERDRIVE TOYOTA,43H 56' 18'',05H 23' 15'',
21,243,(FRA) PIERRE LACHAUME (FRA) STEPHANE DUPLE,MD RALLYE SPORT,44H 00' 00'',05H 26' 57'',00H 32' 00''
22,229,(FRA) RONAN CHABOT (FRA) GILLES PILLOT,OVERDRIVE TOYOTA,44H 21' 49'',05H 48' 46'',00H 04' 00''
23,238,(ESP) LAIA SANZ (ITA) MAURIZIO GERINI,X-RAID MINI JCW TEAM,44H 51' 59'',06H 18' 56'',00H 01' 00''
24,228,(CZE) MIROSLAV ZAPLETAL (SVK) MAREK SYKORA,OFFROADSPORT,45H 09' 14'',06H 36' 11'',00H 01' 00''
25,209,(CZE) MARTIN PROKOP (CZE) VIKTOR CHYTKA,BENZINA ORLEN TEAM,45H 17' 12'',06H 44' 09'',00H 07' 00''
26,254,(FRA) JEAN REMY BERGOUNHE (FRA) GÉRARD DUBUY,MD RALLYE SPORT,45H 41' 47'',07H 08' 44'',00H 30' 00''
27,248,(ESP) ISIDRE ESTEVE PUJOL (ESP) JOSÉ MARIA VILLALOBOS VALCARCEL,REPSOL RALLY TEAM,45H 54' 43'',07H 21' 40'',00H 01' 00''
